Stable ID	Sphinx	DocC
ID194	inheritance-definingabaseclass	Defining-a-Base-Class
ID195	inheritance-subclassing	Subclassing
ID196	inheritance-overriding	Overriding
ID197	inheritance-accessingsuperclass	
ID198	inheritance-overridingmethods	Overriding-Methods
ID199	inheritance-overridingproperties	Overriding-Properties
ID200	inheritance-overridingpropertygettersandsetters	Overriding-Property-Getters-and-Setters
ID201	inheritance-overridingpropertyobservers	Overriding-Property-Observers
ID202	inheritance-preventingoverrides	Preventing-Overrides
ID203	LanguageGuide/Initialization	
ID204	initialization-settinginitialvaluesforstoredproperties	Setting-Initial-Values-for-Stored-Properties
ID205	initialization-initializers	Initializers
ID206	initialization-defaultpropertyvalues	Default-Property-Values
ID207	initialization-customizinginitialization	Customizing-Initialization
ID208	initialization-initializationparameters	Initialization-Parameters
ID209	initialization-localandexternalnames	
ID210	initialization-initializerparameterswithoutexternalnames	
ID211	initialization-optionalpropertytypes	Optional-Property-Types
ID212	initialization-modifyingconstantpropertiesduringinitialization	
ID213	initialization-defaultinitializers	Default-Initializers
ID214	initialization-memberwiseinitializersforstructuretypes	Memberwise-Initializers-for-Structure-Types
ID215	initialization-initializerdelegationforvaluetypes	Initializer-Delegation-for-Value-Types
ID216	initialization-classinheritanceandinitialization	Class-Inheritance-and-Initialization
ID217	initialization-designatedinitializersandconvenienceinitializers	Designated-Initializers-and-Convenience-Initializers
ID218	initialization-syntaxfordesignatedandconvenienceinitializers	Syntax-for-Designated-and-Convenience-Initializers
ID219	initialization-initializerchaining	
ID220	initialization-twophaseinitialization	Two-Phase-Initialization
ID221	initialization-initializerinheritanceandoverriding	Initializer-Inheritance-and-Overriding
ID222	initialization-automaticinitializerinheritance	Automatic-Initializer-Inheritance
ID223	initialization-designatedandconvenienceinitializersinaction	Designated-and-Convenience-Initializers-in-Action
ID224	initialization-failableinitializers	Failable-Initializers
ID225	initialization-failableinitializersforenumerations	Failable-Initializers-for-Enumerations
ID226	initialization-failableinitializersforenumerationswithrawvalues	Failable-Initializers-for-Enumerations-with-Raw-Values
ID228	initialization-propagationofinitializationfailure	Propagation-of-Initialization-Failure
ID229	initialization-overridingafailableinitializer	Overriding-a-Failable-Initializer
ID230	initialization-implicitlyunwrappedfailableinitializers	
ID231	initialization-requiredinitializers	Required-Initializers
ID232	initialization-settingadefaultpropertyvaluewithaclosureorfunction	Setting-a-Default-Property-Value-with-a-Closure-or-Function
ID233	LanguageGuide/LanguageGuidePart	
ID234	LanguageGuide/Methods	
ID235	methods-instancemethods	Instance-Methods
ID236	methods-localandexternalnamesformethods	
ID238	methods-theselfproperty	The-self-Property
ID239	methods-modifyingvaluetypesfromwithininstancemethods	Modifying-Value-Types-from-Within-Instance-Methods
ID240	methods-assigningtoselfwithinamutatingmethod	Assigning-to-self-Within-a-Mutating-Method
ID241	methods-typemethods	Type-Methods
ID242	LanguageGuide/NestedTypes	
ID243	nestedtypes-nestedtypesinaction	Nested-Types-in-Action
ID244	nestedtypes-referringtonestedtypes	Referring-to-Nested-Types
ID245	LanguageGuide/OptionalChaining	
ID246	optionalchaining-optionalchainingasanalternativetoforcedunwrapping	Optional-Chaining-as-an-Alternative-to-Forced-Unwrapping
ID247	optionalchaining-definingmodelclassesforoptionalchaining	Defining-Model-Classes-for-Optional-Chaining
ID248	optionalchaining-callingpropertiesthroughoptionalchaining	
ID249	optionalchaining-callingmethodsthroughoptionalchaining	Calling-Methods-Through-Optional-Chaining
ID250	optionalchaining-callingsubscriptsthroughoptionalchaining	
ID251	optionalchaining-accessingsubscriptsofoptionaltype	Accessing-Subscripts-of-Optional-Type
ID252	optionalchaining-linkingmultiplelevelsofchaining	Linking-Multiple-Levels-of-Chaining
ID253	optionalchaining-chainingonmethodswithoptionalreturnvalues	Chaining-on-Methods-with-Optional-Return-Values
ID254	LanguageGuide/Properties	
ID255	properties-storedproperties	Stored-Properties
ID256	properties-storedpropertiesofconstantstructureinstances	Stored-Properties-of-Constant-Structure-Instances
ID257	properties-lazystoredproperties	Lazy-Stored-Properties
ID258	properties-storedpropertiesandinstancevariables	Stored-Properties-and-Instance-Variables
ID259	properties-computedproperties	Computed-Properties
ID260	properties-shorthandsetterdeclaration	Shorthand-Setter-Declaration
ID261	properties-readonlycomputedproperties	Read-Only-Computed-Properties
ID262	properties-propertyobservers	Property-Observers
ID263	properties-globalandlocalvariables	Global-and-Local-Variables
ID264	properties-typeproperties	Type-Properties
ID265	properties-typepropertysyntax	Type-Property-Syntax
ID266	properties-queryingandsettingtypeproperties	Querying-and-Setting-Type-Properties
ID267	LanguageGuide/Protocols	
ID268	protocols-protocolsyntax	Protocol-Syntax
ID269	protocols-propertyrequirements	Property-Requirements
ID270	protocols-methodrequirements	Method-Requirements
ID271	protocols-mutatingmethodrequirements	Mutating-Method-Requirements
ID272	protocols-initializerrequirements	Initializer-Requirements
ID273	protocols-classimplementationsofprotocolinitializerrequirements	Class-Implementations-of-Protocol-Initializer-Requirements
ID274	protocols-failableinitializerrequirements	Failable-Initializer-Requirements
ID275	protocols-protocolsastypes	Protocols-as-Types
ID276	protocols-delegation	Delegation
ID277	protocols-addingprotocolconformancewithanextension	Adding-Protocol-Conformance-with-an-Extension
ID278	protocols-declaringprotocoladoptionwithanextension	Declaring-Protocol-Adoption-with-an-Extension
ID279	protocols-collectionsofprotocoltypes	Collections-of-Protocol-Types
ID280	protocols-protocolinheritance	Protocol-Inheritance
ID281	protocols-classonlyprotocols	Class-Only-Protocols
ID282	protocols-protocolcomposition	Protocol-Composition
ID283	protocols-checkingforprotocolconformance	Checking-for-Protocol-Conformance
ID284	protocols-optionalprotocolrequirements	Optional-Protocol-Requirements
ID285	LanguageGuide/StringsAndCharacters	
ID286	stringsandcharacters-literals	
ID287	stringsandcharacters-initializinganemptystring	Initializing-an-Empty-String
ID288	stringsandcharacters-stringmutability	String-Mutability
ID289	stringsandcharacters-stringsarevaluetypes	Strings-Are-Value-Types
ID290	stringsandcharacters-workingwithcharacters	Working-with-Characters
ID291	stringsandcharacters-concatenatingstringsandcharacters	Concatenating-Strings-and-Characters
ID292	stringsandcharacters-stringinterpolation	String-Interpolation
ID293	stringsandcharacters-unicode	Unicode
ID294	stringsandcharacters-stringsareunicodescalars	
ID295	stringsandcharacters-specialcharactersinstringliterals	Special-Characters-in-String-Literals
ID296	stringsandcharacters-extendedgraphemeclusters	Extended-Grapheme-Clusters
ID297	stringsandcharacters-countingcharacters	Counting-Characters
